s_bp	balanced.avg.smoothed	label
2000000	0.012588611886147173	Brain
3000000	0.011546606337880214	Brain
4000000	0.01075471346893945	Brain
5000000	0.010169912352252994	Brain
6000000	0.009727299485944606	Brain
7000000	0.009386563796619915	Brain
8000000	0.00911680031675713	Brain
9000000	0.008895956798629156	Brain
10000000	0.008710110168578361	Brain
11000000	0.008550700817572447	Brain
12000000	0.008412025487851669	Brain
13000000	0.008289723999852783	Brain
14000000	0.008180167917083182	Brain
15000000	0.008080332912276259	Brain
16000000	0.00798782470230803	Brain
17000000	0.007900859472232846	Brain
18000000	0.00781817582975047	Brain
19000000	0.007738928811162491	Brain
20000000	0.007662584538758273	Brain
21000000	0.007588822298976586	Brain
22000000	0.007517473103592876	Brain
23000000	0.007448465646006148	Brain
24000000	0.007381788951206742	Brain
25000000	0.007317460322417167	Brain
26000000	0.0072555054234781395	Brain
27000000	0.007195941422832357	Brain
28000000	0.007138765135567732	Brain
29000000	0.0070839491011797226	Brain
30000000	0.007031441315650807	Brain
31000000	0.006981164785311056	Brain
32000000	0.0069330240714507	Brain
33000000	0.006886910869648182	Brain
34000000	0.006842707607066759	Brain
35000000	0.006800294375360279	Brain
36000000	0.006759554211079053	Brain
37000000	0.006720373694488679	Brain
38000000	0.006682647269247942	Brain
39000000	0.006646278835629348	Brain
40000000	0.006611179710133656	Brain
41000000	0.006577270268716155	Brain
42000000	0.0065444782917723175	Brain
43000000	0.006512738853527751	Brain
44000000	0.006482044685373459	Brain
45000000	0.006452180157287851	Brain
46000000	0.006423295918392991	Brain
47000000	0.0063951580618244975	Brain
48000000	0.006367877995252998	Brain
49000000	0.006341273242897548	Brain
50000000	0.006315402499271101	Brain
51000000	0.006290146515539883	Brain
52000000	0.006265497281673775	Brain
53000000	0.006241411438680256	Brain
54000000	0.006217803287558607	Brain
55000000	0.006194715195101695	Brain
56000000	0.006171979627299201	Brain
57000000	0.006149727722607512	Brain
58000000	0.006127712186361474	Brain
59000000	0.006106149808542425	Brain
60000000	0.006084720992007436	Brain
61000000	0.006063719736067015	Brain
62000000	0.006042767463248244	Brain
63000000	0.006022221111605012	Brain
64000000	0.006001658402207276	Brain
65000000	0.005981483094962753	Brain
66000000	0.005961246817387211	Brain
67000000	0.005941381783287886	Brain
68000000	0.0059214308985356835	Brain
69000000	0.0059018368132779594	Brain
70000000	0.005882149533261594	Brain
71000000	0.00586280579776549	Brain
72000000	0.005843377440289044	Brain
73000000	0.005824280126035648	Brain
74000000	0.005805119597301714	Brain
75000000	0.005786278035753428	Brain
76000000	0.005767404090862218	Brain
77000000	0.005748837234118983	Brain
78000000	0.005730276427623333	Brain
79000000	0.0057120108572953935	Brain
80000000	0.005693793759538781	Brain
81000000	0.005675859988700176	Brain
82000000	0.005658019613537136	Brain
83000000	0.005640450551811254	Brain
84000000	0.005623020104512536	Brain
85000000	0.005605848852338495	Brain
86000000	0.0055888597021164195	Brain
87000000	0.005572117561335758	Brain
88000000	0.0055556050327672645	Brain
89000000	0.005539327198265845	Brain
90000000	0.005523278140747719	Brain
91000000	0.005507534942211047	Brain
92000000	0.005492007944833073	Brain
93000000	0.0054766918774525365	Brain
94000000	0.005461758870892289	Brain
95000000	0.005447023961922138	Brain
96000000	0.005432482478493839	Brain
97000000	0.005418385663620942	Brain
98000000	0.005404469453473896	Brain
99000000	0.0053907297263801925	Brain
100000000	0.0053774807629124125	Brain
101000000	0.005364395710361064	Brain
102000000	0.005351470947855341	Brain
103000000	0.005339068503659652	Brain
104000000	0.005326814220304036	Brain
105000000	0.0053147049285298615	Brain
106000000	0.005303136481102505	Brain
107000000	0.005291701486697555	Brain
108000000	0.005280397179985229	Brain
109000000	0.005269641005533537	Brain
110000000	0.005259004673597561	Brain
111000000	0.00524848577750603	Brain
112000000	0.005238512941917945	Brain
113000000	0.005228647452859022	Brain
114000000	0.0052188872201106235	Brain
115000000	0.005209663557461393	Brain
116000000	0.005200535844897665	Brain
117000000	0.005191502269940838	Brain
118000000	0.005182989572093499	Brain
119000000	0.00517456249466744	Brain
120000000	0.005166219467769954	Brain
121000000	0.005158377615663871	Brain
122000000	0.005150612062998833	Brain
123000000	0.005142921451054382	Brain
124000000	0.005135709134965416	Brain
125000000	0.005128564742642049	Brain
126000000	0.005121487098627019	Brain
127000000	0.005114862893119551	Brain
128000000	0.005108299110036074	Brain
129000000	0.005101794732599539	Brain
130000000	0.005095777402074465	Brain
131000000	0.005089813197629551	Brain
132000000	0.005083901250014567	Brain
133000000	0.005078040710651452	Brain
134000000	0.005072687304861682	Brain
135000000	0.005067379282645577	Brain
136000000	0.005062115927335414	Brain
137000000	0.005056896538745472	Brain
138000000	0.0050521404568644795	Brain
139000000	0.005047423140066213	Brain
140000000	0.005042743996893057	Brain
141000000	0.005038102449055185	Brain
142000000	0.0050338819981843785	Brain
143000000	0.005029694663133321	Brain
144000000	0.005025539955187891	Brain
145000000	0.005021417396177187	Brain
146000000	0.005017675802139698	Brain
147000000	0.005013962507678987	Brain
2000000	0.013497553181147516	Liver
3000000	0.012318165037037603	Liver
4000000	0.011561971416876992	Liver
5000000	0.011049495699806514	Liver
6000000	0.010669119773654999	Liver
7000000	0.010383761663162799	Liver
8000000	0.01016194604367198	Liver
9000000	0.009977533000317	Liver
10000000	0.009814657949734207	Liver
11000000	0.009665126137431526	Liver
12000000	0.009524546996064942	Liver
13000000	0.009390061207083428	Liver
14000000	0.00925947940135242	Liver
15000000	0.00913110359794952	Liver
16000000	0.009003796432981196	Liver
17000000	0.00887703150930929	Liver
18000000	0.008750838977455093	Liver
19000000	0.008625664779023745	Liver
20000000	0.008502182472809363	Liver
21000000	0.00838109841679652	Liver
22000000	0.008263023485597407	Liver
23000000	0.008148394926301776	Liver
24000000	0.008037458553643512	Liver
25000000	0.007930285931651378	Liver
26000000	0.007826818054070104	Liver
27000000	0.007726909441801129	Liver
28000000	0.0076303678751985515	Liver
29000000	0.007536986982699332	Liver
30000000	0.007446568211562226	Liver
31000000	0.007358928491480918	Liver
32000000	0.007273908211120689	Liver
33000000	0.007191370824964064	Liver
34000000	0.007111197831096408	Liver
35000000	0.007033287462842199	Liver
36000000	0.006957552745978134	Liver
37000000	0.006883914091083698	Liver
38000000	0.006812300120879362	Liver
39000000	0.00674264633538736	Liver
40000000	0.006674890052286214	Liver
41000000	0.00660897257017951	Liver
42000000	0.006544836969787777	Liver
43000000	0.0064824292276160845	Liver
44000000	0.006421544573774352	Liver
45000000	0.006362580981422756	Liver
46000000	0.006304920942486014	Liver
47000000	0.006249006833876701	Liver
48000000	0.006194353630170429	Liver
49000000	0.006141290714146843	Liver
50000000	0.006089430581696361	Liver
51000000	0.00603902248412017	Liver
52000000	0.0059897462220739345	Liver
53000000	0.005941799294092691	Liver
54000000	0.005894904056786308	Liver
55000000	0.0058492293411131725	Liver
56000000	0.005804524123343005	Liver
57000000	0.005760942865612858	Liver
58000000	0.0057182517121030715	Liver
59000000	0.005676598665284963	Liver
60000000	0.005635762603373708	Liver
61000000	0.005595888081080219	Liver
62000000	0.005556769284428509	Liver
63000000	0.0055185433621067455	Liver
64000000	0.005481023651776046	Liver
65000000	0.005444334863344174	Liver
66000000	0.005408316805149768	Liver
67000000	0.005373073336582246	Liver
68000000	0.00533847814183757	Liver
69000000	0.005304605902692769	Liver
70000000	0.005271370276537854	Liver
71000000	0.005238809925355472	Liver
72000000	0.005206884878260716	Liver
73000000	0.005175590738914034	Liver
74000000	0.005144938166542272	Liver
75000000	0.005114874956986253	Liver
76000000	0.005085463996075135	Liver
77000000	0.00505660332121354	Liver
78000000	0.005028409652604883	Liver
79000000	0.00500072935836784	Liver
80000000	0.004973731176665756	Liver
81000000	0.004947211442255132	Liver
82000000	0.004921389097996218	Liver
83000000	0.00489601210330015	Liver
84000000	0.004871346237305821	Liver
85000000	0.004847094352499022	Liver
86000000	0.004823564002342403	Liver
87000000	0.004800417943016228	Liver
88000000	0.00477809845692119	Liver
89000000	0.004756133197483297	Liver
90000000	0.004734512656575262	Liver
91000000	0.00471382731336091	Liver
92000000	0.004693456944606499	Liver
93000000	0.004673393408007264	Liver
94000000	0.004654277494793835	Liver
95000000	0.004635440825686751	Liver
96000000	0.004616876445888245	Liver
97000000	0.004599258304372789	Liver
98000000	0.00458188706634918	Liver
99000000	0.004564756804721746	Liver
100000000	0.004548559029993808	Liver
101000000	0.004532579052325237	Liver
102000000	0.0045168118298908305	Liver
103000000	0.004501952878179414	Liver
104000000	0.004487285669297335	Liver
105000000	0.0044728059206542315	Liver
106000000	0.004459201851063707	Liver
107000000	0.004445766317403148	Liver
108000000	0.004432495685663387	Liver
109000000	0.004420061768708993	Liver
110000000	0.004407775808324062	Liver
111000000	0.0043956347226616855	Liver
112000000	0.004384286957150102	Liver
113000000	0.004373068968146307	Liver
114000000	0.004361978142566862	Liver
115000000	0.004351634629204464	Liver
116000000	0.004341404881202225	Liver
117000000	0.0043312866826068	Liver
118000000	0.004321867831635694	Liver
119000000	0.00431254868947605	Liver
120000000	0.0043033273759171325	Liver
121000000	0.004294757797606426	Liver
122000000	0.004286275606912012	Liver
123000000	0.0042778792072897245	Liver
124000000	0.004270087429115177	Liver
125000000	0.00426237225774996	Liver
126000000	0.0042547323361342825	Liver
127000000	0.004247651297642601	Liver
128000000	0.004240637443831663	Liver
129000000	0.004233689619792954	Liver
130000000	0.00422732817739846	Liver
131000000	0.004221024931168942	Liver
132000000	0.004214778910519556	Liver
133000000	0.004208589168250594	Liver
134000000	0.0042029955886992345	Liver
135000000	0.004197450949154213	Liver
136000000	0.004191954463631621	Liver
137000000	0.0041865053644326656	Liver
138000000	0.0041815875693373234	Liver
139000000	0.004176710996523674	Liver
140000000	0.0041718750075972495	Liver
141000000	0.004167078978521059	Liver
142000000	0.0041627551817043675	Liver
143000000	0.004158466166875491	Liver
144000000	0.004154211413923157	Liver
145000000	0.004149990414057391	Liver
146000000	0.004146187938607772	Liver
147000000	0.0041424148673002825	Liver
2000000	0.014242772242841347	Other
3000000	0.012632932534212845	Other
4000000	0.011467903161599806	Other
5000000	0.010662024850303058	Other
6000000	0.010081970905890001	Other
7000000	0.009641948965927166	Other
8000000	0.009295895191515365	Other
9000000	0.009017012331424754	Other
10000000	0.008787889391092905	Other
11000000	0.008596219754983718	Other
12000000	0.00843281900826947	Other
13000000	0.008290678872559373	Other
14000000	0.008164487142928901	Other
15000000	0.008050305871315142	Other
16000000	0.007945315960539016	Other
17000000	0.007847563705640095	Other
18000000	0.007755721102613916	Other
19000000	0.007668898822140514	Other
20000000	0.007586502146740977	Other
21000000	0.0075081173579889466	Other
22000000	0.007433450512409433	Other
23000000	0.00736227895041022	Other
24000000	0.007294423311436954	Other
25000000	0.007229725040839746	Other
26000000	0.007168036167558136	Other
27000000	0.0071092104168592775	Other
28000000	0.007053096875494449	Other
29000000	0.006999540120405679	Other
30000000	0.006948381812013142	Other
31000000	0.0068994600360035635	Other
32000000	0.006852614903310698	Other
33000000	0.006807691946137445	Other
34000000	0.006764542935188679	Other
