s_bp	balanced.avg.smoothed	label
2000000	0.017436852142109414	Other
3000000	0.015124784232741509	Other
4000000	0.013463551900346756	Other
5000000	0.012304785369297465	Other
6000000	0.011472761381636856	Other
7000000	0.010851356027366737	Other
8000000	0.010371238124332775	Other
9000000	0.00998957488402691	Other
10000000	0.009678564722287276	Other
11000000	0.00941894603379379	Other
12000000	0.009196879395634483	Other
13000000	0.00900238634720461	Other
14000000	0.008828340976570433	Other
15000000	0.008669688991001956	Other
16000000	0.008522883571698352	Other
17000000	0.008385459356136986	Other
18000000	0.008255710459614691	Other
19000000	0.008132471089052289	Other
20000000	0.008014951875728303	Other
21000000	0.00790260281448475	Other
22000000	0.007795036026877006	Other
23000000	0.007691959025262495	Other
24000000	0.007593134623005635	Other
25000000	0.007498349612450457	Other
26000000	0.007407402375572638	Other
27000000	0.007320092934716119	Other
28000000	0.0072362173040335254	Other
29000000	0.007155569866468412	Other
30000000	0.007077946879658578	Other
31000000	0.007003145647291942	Other
32000000	0.006930971735752556	Other
33000000	0.006861242197183076	Other
34000000	0.006793785216905144	Other
35000000	0.006728444290108077	Other
36000000	0.006665080545553911	Other
37000000	0.006603568563376638	Other
38000000	0.006543798888839293	Other
39000000	0.006485677409368683	Other
40000000	0.00642912011543575	Other
41000000	0.0063740543313252	Other
42000000	0.006320415496835691	Other
43000000	0.006268146836316219	Other
44000000	0.006217053569311735	Other
45000000	0.0061675111277982786	Other
46000000	0.006118929040990775	Other
47000000	0.006071762261306001	Other
48000000	0.006025502626517909	Other
49000000	0.005980538502294547	Other
50000000	0.005936417680681871	Other
51000000	0.0058934865036845765	Other
52000000	0.005851322867116441	Other
53000000	0.005810255495779565	Other
54000000	0.005769870213814552	Other
55000000	0.005730499026332738	Other
56000000	0.005691721477262004	Other
57000000	0.005653885779845269	Other
58000000	0.005616557384322695	Other
59000000	0.005580107289443872	Other
60000000	0.005544084353972636	Other
61000000	0.005508883689785697	Other
62000000	0.005474041881877812	Other
63000000	0.005439972675960318	Other
64000000	0.0054062065176566625	Other
65000000	0.005373168632336755	Other
66000000	0.005340392947698307	Other
67000000	0.005308305595735912	Other
68000000	0.00527645410019185	Other
69000000	0.005245254566167002	Other
70000000	0.0052142774003606385	Other
71000000	0.005183918716104636	Other
72000000	0.0051537815100236115	Other
73000000	0.005124231604543633	Other
74000000	0.005094912536987746	Other
75000000	0.005066151420987505	Other
76000000	0.00503763792682657	Other
77000000	0.0050096545202364135	Other
78000000	0.004981942451168538	Other
79000000	0.004954733794131992	Other
80000000	0.004927823583143803	Other
81000000	0.004901391115262207	Other
82000000	0.004875287081558746	Other
83000000	0.004849635979483089	Other
84000000	0.004824344201591404	Other
85000000	0.004799481313566735	Other
86000000	0.004775007536465451	Other
87000000	0.004750939344140096	Other
