s_bp	balanced.avg.smoothed	label
2000000	0.013606732570894906	Other
3000000	0.012227935813500245	Other
4000000	0.011210208370845498	Other
5000000	0.010500635695251828	Other
6000000	0.009985502083147723	Other
7000000	0.0095922142971909	Other
8000000	0.00927942062468794	Other
9000000	0.009023322644961994	Other
10000000	0.008809636059491905	Other
11000000	0.008628662017080383	Other
12000000	0.008473034697095216	Other
13000000	0.008336904909241933	Other
14000000	0.008215656553474995	Other
15000000	0.008105734307036918	Other
16000000	0.008004488759417106	Other
17000000	0.00790999826216304	Other
18000000	0.007820891605629422	Other
19000000	0.007736210346702829	Other
20000000	0.00765530032613199	Other
21000000	0.007577719189837729	Other
22000000	0.007503181898183416	Other
23000000	0.007431509956055456	Other
24000000	0.00736259536725549	Other
25000000	0.0072963682234111465	Other
26000000	0.0072327767448918355	Other
27000000	0.007171770374192968	Other
28000000	0.0071132878090003895	Other
29000000	0.007057253447750068	Other
30000000	0.007003577175756143	Other
31000000	0.006952153354946097	Other
32000000	0.0069028669308374615	Other
33000000	0.006855597845994772	Other
34000000	0.006810223237077553	Other
35000000	0.006766622947210557	Other
36000000	0.006724683447061277	Other
37000000	0.0066842968547634095	Other
38000000	0.006645364211177259	Other
39000000	0.006607796103116231	Other
40000000	0.006571509790085403	Other
41000000	0.00653643048156777	Other
42000000	0.006502489360501551	Other
43000000	0.00646962343173263	Other
44000000	0.006437818835675338	Other
45000000	0.00640688013587806	Other
46000000	0.006376927028726412	Other
47000000	0.006347753679120645	Other
48000000	0.006319433832256443	Other
49000000	0.00629182041037177	Other
50000000	0.006264923588124715	Other
51000000	0.006238671002460667	Other
52000000	0.00621299426512549	Other
53000000	0.006187909319379405	Other
54000000	0.006163259448411271	Other
55000000	0.006139157404482062	Other
56000000	0.0061153564700146	Other
57000000	0.0060920666538273735	Other
58000000	0.006068956171747376	Other
59000000	0.006046326197114167	Other
60000000	0.006023770038928162	Other
61000000	0.006001668800732481	Other
62000000	0.005979556505159517	Other
63000000	0.005957877547782899	Other
64000000	0.005936123679293499	Other
65000000	0.005914784686869773	Other
66000000	0.005893328925284352	Other
67000000	0.005872271903870907	Other
68000000	0.005851076828798738	Other
69000000	0.0058302660165795986	Other
70000000	0.005809313925105353	Other
71000000	0.0057887327382522055	Other
72000000	0.005768023326809204	Other
73000000	0.00574767213557249	Other
74000000	0.005727218841437543	Other
75000000	0.005707111422437531	Other
76000000	0.005686937599897619	Other
77000000	0.005667097415458179	Other
78000000	0.005647234268453537	Other
79000000	0.005627692458591421	Other
80000000	0.005608175170222453	Other
81000000	0.005588966771322588	Other
82000000	0.0055698329116291466	Other
83000000	0.005550995302775744	Other
84000000	0.0055322825024939	Other
85000000	0.005513853128265786	Other
86000000	0.005495596974795099	Other
87000000	0.005477611281853529	Other
88000000	0.005459845371463317	Other
89000000	0.005442336859225458	Other
90000000	0.005425079185980701	Other
91000000	0.005408120191085048	Other
92000000	0.005391398693195103	Other
93000000	0.005374908838568293	Other
94000000	0.0053588042533167035	Other
95000000	0.005342917580824359	Other
96000000	0.005327243624791626	Other
97000000	0.005312024529482888	Other
98000000	0.005297004342559338	Other
99000000	0.005282178474106333	Other
100000000	0.0052678600112454075	Other
101000000	0.005253722259193046	Other
102000000	0.0052397611815860135	Other
103000000	0.005226343952600651	Other
104000000	0.00521309022156955	Other
105000000	0.005199996452553055	Other
106000000	0.005187468457317009	Other
107000000	0.005175087856854954	Other
