s_bp	balanced.avg.smoothed	label
87000000	0.005546980648876707	Brain
88000000	0.0055327049172764235	Brain
89000000	0.005518626616879431	Brain
90000000	0.005504740844472505	Brain
91000000	0.005490942227646036	Brain
92000000	0.005477328442430628	Brain
93000000	0.005463895043954883	Brain
94000000	0.005450661984694886	Brain
95000000	0.005437600503043279	Brain
96000000	0.005424706603070398	Brain
97000000	0.005412110121818962	Brain
98000000	0.005399671639042173	Brain
99000000	0.005387387590783417	Brain
100000000	0.005375480609598347	Brain
101000000	0.005363718032825719	Brain
102000000	0.005352096705204044	Brain
103000000	0.005340914603524846	Brain
104000000	0.005329863568509093	Brain
105000000	0.005318940825621099	Brain
106000000	0.005308502840520861	Brain
107000000	0.005298183062327226	Brain
108000000	0.005287979066256712	Brain
109000000	0.005278290211064201	Brain
110000000	0.005268707349778712	Brain
111000000	0.005259228374953793	Brain
112000000	0.005250281601167392	Brain
113000000	0.005241429372921754	Brain
114000000	0.0052326698675735075	Brain
115000000	0.005224448389851461	Brain
116000000	0.005216310844868266	Brain
117000000	0.0052082556631951014	Brain
118000000	0.005200734711507431	Brain
119000000	0.005193287952062979	Brain
120000000	0.005185914038666822	Brain
121000000	0.005179063365408002	Brain
122000000	0.005172278015387762	Brain
123000000	0.005165556837895488	Brain
124000000	0.005159342078940612	Brain
125000000	0.005153184625515883	Brain
126000000	0.0051470834970656605	Brain
127000000	0.005141467733983378	Brain
128000000	0.0051359020717957095	Brain
129000000	0.005130385677317168	Brain
130000000	0.005125397660363801	Brain
131000000	0.005120452660148286	Brain
132000000	0.005115549981540614	Brain
133000000	0.0051106889458029285	Brain
134000000	0.005106383891747328	Brain
135000000	0.005102114431905828	Brain
136000000	0.005097880011572849	Brain
137000000	0.005093680088686336	Brain
138000000	0.00508999035496157	Brain
139000000	0.005086329906023397	Brain
140000000	0.005082698301253781	Brain
141000000	0.005079095109752081	Brain
142000000	0.005075956278341399	Brain
143000000	0.00507284139339831	Brain
144000000	0.005069750106679397	Brain
145000000	0.005066682077379873	Brain
146000000	0.005064033730071784	Brain
147000000	0.005061404830508031	Brain
148000000	0.005058795105027901	Brain
2000000	0.012978259989389599	Other
3000000	0.011819606467287884	Other
4000000	0.010937170783802077	Other
5000000	0.010306351758601125	Other
6000000	0.009838489290010475	Other
7000000	0.009475884009126015	Other
8000000	0.009184029018005819	Other
9000000	0.00894310238667301	Other
10000000	0.008741229964883305	Other
11000000	0.008569740746559883	Other
12000000	0.008421512635919937	Other
13000000	0.008290780663898729	Other
14000000	0.008173148992496255	Other
15000000	0.00806543995761922	Other
16000000	0.007965452721329948	Other
17000000	0.007871697967756556	Other
18000000	0.00778316643019649	Other
19000000	0.007699168061891909	Other
20000000	0.007619222616723156	Other
21000000	0.0075429793796969674	Other
22000000	0.007470179885642374	Other
23000000	0.00740062623084355	Other
24000000	0.007334162285710455	Other
25000000	0.007270655715137879	Other
26000000	0.007209988620755686	Other
27000000	0.00715204784114929	Other
28000000	0.007096717215786908	Other
29000000	0.007043875760473005	Other
30000000	0.006993397617169113	Other
31000000	0.006945150222219815	Other
32000000	0.006898998922578349	Other
33000000	0.006854809819243957	Other
34000000	0.006812450579228251	Other
35000000	0.00677179460891076	Other
36000000	0.006732723988953347	Other
37000000	0.006695127927132268	Other
38000000	0.00665890550129778	Other
39000000	0.006623966032115587	Other
40000000	0.0065902261793804795	Other
41000000	0.006557611107669913	Other
42000000	0.006526052545993696	Other
43000000	0.006495488617140354	Other
44000000	0.006465904310545354	Other
45000000	0.006437115117047549	Other
46000000	0.0064092310982182404	Other
47000000	0.006382063704155582	Other
48000000	0.006355675544433301	Other
49000000	0.006329937269043573	Other
50000000	0.0063048501098706446	Other
51000000	0.00628035625430305	Other
52000000	0.006256382382869783	Other
53000000	0.006232954103331372	Other
54000000	0.006209913982714623	Other
55000000	0.006187379480388622	Other
56000000	0.006165106355427818	Other
57000000	0.006143305529384538	Other
58000000	0.006121649221615613	Other
59000000	0.006100437522940831	Other
60000000	0.006079267463125741	Other
61000000	0.006058518993046677	Other
62000000	0.0060377278707893535	Other
63000000	0.006017339067997967	Other
64000000	0.005996842824181799	Other
65000000	0.005976732564608535	Other
66000000	0.005956471042944132	Other
67000000	0.005936581364794516	Other
68000000	0.005916516681321019	Other
69000000	0.005896811262054178	Other
70000000	0.005876925131016248	Other
71000000	0.005857386726218894	Other
72000000	0.005837678452149831	Other
73000000	0.005818306972495244	Other
74000000	0.005798790055719008	Other
75000000	0.005779599275089727	Other
76000000	0.005760297769244335	Other
77000000	0.005741311779547188	Other
78000000	0.005722258213909756	Other
79000000	0.005703509405817603	Other
80000000	0.005684740982386674	Other
81000000	0.005666266328718552	Other
82000000	0.005647823224832735	Other
83000000	0.005629662623299974	Other
84000000	0.0056115856018961125	Other
85000000	0.005593779535003323	Other
86000000	0.005576107776969009	Other
87000000	0.00555869518581989	Other
88000000	0.005541460200803272	Other
89000000	0.005524472501675909	Other
90000000	0.005507725821108699	Other
91000000	0.0054912352186623995	Other
92000000	0.005474973413310479	Other
93000000	0.005458934794961282	Other
94000000	0.005443245829506781	Other
95000000	0.005427767265261172	Other
96000000	0.005412494109964364	Other
97000000	0.005397647493054762	Other
98000000	0.0053829932524661495	Other
99000000	0.005368526970248139	Other
100000000	0.005354547018876247	Other
101000000	0.0053407420371492965	Other
102000000	0.005327108135052567	Other
103000000	0.005314003928853481	Other
104000000	0.005301058105061642	Other
105000000	0.005288267253871958	Other
106000000	0.005276034416648944	Other
107000000	0.005263944343376307	Other
108000000	0.005251994056839688	Other
109000000	0.0052406168544244115	Other
110000000	0.005229367864435775	Other
111000000	0.005218244495992401	Other
112000000	0.005207698021684717	Other
113000000	0.0051972663270540105	Other
114000000	0.0051869471636287	Other
115000000	0.005177199569184012	Other
116000000	0.005167554451650231	Other
117000000	0.005158009864085361	Other
118000000	0.0051490238144092995	Other
119000000	0.0051401290548313255	Other
120000000	0.005131323902386056	Other
121000000	0.005123058975803707	Other
122000000	0.005114875222400425	Other
123000000	0.005106771189318288	Other
124000000	0.0050991848594176365	Other
125000000	0.0050916705989987685	Other
126000000	0.005084227155009327	Other
127000000	0.0050772760876948006	Other
128000000	0.005070388931015582	Other
129000000	0.005063564604890573	Other
130000000	0.005057270858133366	Other
131000000	0.005051033072929614	Other
132000000	0.005044850330162412	Other
133000000	0.005038721732629326	Other
134000000	0.005033146975488269	Other
135000000	0.0050276197659572105	Other
136000000	0.00502213935077009	Other
137000000	0.005016704994022545	Other
138000000	0.005011777300682478	Other
139000000	0.005006889974642414	Other
140000000	0.005002042398349947	Other
141000000	0.0049972339680263685	Other
142000000	0.00499288626120112	Other
143000000	0.004988572807737552	Other
144000000	0.004984293101050113	Other
145000000	0.004980046645497872	Other
146000000	0.00497621692324999	Other
147000000	0.004972416257680854	Other
2000000	0.013171417563799082	Liver
3000000	0.012510299393172804	Liver
4000000	0.011927001393631568	Liver
5000000	0.011506734425980188	Liver
6000000	0.01119473627997256	Liver
7000000	0.010943643836491811	Liver
8000000	0.01072856251736662	Liver
9000000	0.010537129481943915	Liver
10000000	0.010362694290729215	Liver
11000000	0.010200672584737384	Liver
12000000	0.01004722494578439	Liver
13000000	0.009899129236232845	Liver
14000000	0.009753944991277201	Liver
15000000	0.009610045088810904	Liver
16000000	0.009466514757752884	Liver
17000000	0.009322968267017397	Liver
18000000	0.009179365358268866	Liver
19000000	0.009035879048755135	Liver
20000000	0.008892810569426287	Liver
21000000	0.00875052115399682	Liver
22000000	0.008609405962165787	Liver
23000000	0.008469865676659895	Liver
24000000	0.008332288320400597	Liver
25000000	0.008197029310673646	Liver
