s_bp	balanced.avg.smoothed	label
2000000	0.016517811662742472	Brain
3000000	0.014405703637782385	Brain
4000000	0.012785424313189303	Brain
5000000	0.011641170380481304	Brain
6000000	0.010819201682734664	Brain
7000000	0.010204001580276961	Brain
8000000	0.009724137904192904	Brain
9000000	0.009337818619472664	Brain
10000000	0.009021173660700947	Brain
11000000	0.008758459075755521	Brain
12000000	0.008537513056383212	Brain
13000000	0.00834845317209586	Brain
14000000	0.008183408327616798	Brain
15000000	0.00803634930824153	Brain
16000000	0.007902868287070208	Brain
17000000	0.007779878283289706	Brain
18000000	0.007665283745776815	Brain
19000000	0.007557697535348307	Brain
20000000	0.007456207495293886	Brain
21000000	0.007360190473904533	Brain
22000000	0.007269207278111481	Brain
23000000	0.007182926839667353	Brain
24000000	0.007101085433025734	Brain
25000000	0.007023457447184022	Brain
26000000	0.006949842808327528	Brain
27000000	0.006880055442091689	Brain
28000000	0.006813913099177774	Brain
29000000	0.006751234298815242	Brain
30000000	0.006691836521333121	Brain
31000000	0.0066355314995786415	Brain
32000000	0.006582128969516607	Brain
33000000	0.006531438816475417	Brain
34000000	0.006483270732560336	Brain
35000000	0.006437439191596893	Brain
36000000	0.00639376725590774	Brain
37000000	0.006352085155841267	Brain
38000000	0.006312234591319402	Brain
39000000	0.00627407028959197	Brain
40000000	0.00623745731807712	Brain
41000000	0.006202273519349748	Brain
42000000	0.006168407860545742	Brain
43000000	0.0061357608170256	Brain
44000000	0.0061043328391998195	Brain
45000000	0.006073766765398972	Brain
46000000	0.006044328137179286	Brain
47000000	0.0060156607663714	Brain
48000000	0.005987938336520351	Brain
49000000	0.00596091137909224	Brain
50000000	0.0059346698225937735	Brain
51000000	0.0059090600519933	Brain
52000000	0.005884090960674324	Brain
53000000	0.005859700015729285	Brain
54000000	0.0058358148319210545	Brain
55000000	0.005812462632426779	Brain
56000000	0.005789490706779538	Brain
57000000	0.005767013780422361	Brain
58000000	0.005744801089139787	Brain
59000000	0.00572305149729003	Brain
60000000	0.005701460321141123	Brain
61000000	0.0056803054897844405	Brain
62000000	0.005659216576450467	Brain
63000000	0.005638541528093083	Brain
64000000	0.005617853542532668	Brain
65000000	0.005597560463983106	Brain
66000000	0.005577191319544652	Brain
67000000	0.005557200949320721	Brain
68000000	0.005537087304196291	Brain
69000000	0.005517338513261166	Brain
70000000	0.005497434530311059	Brain
71000000	0.005477883167800741	Brain
72000000	0.005458160127259517	Brain
73000000	0.005438778688507083	Brain
74000000	0.005419223009533127	Brain
75000000	0.005399998736927546	Brain
76000000	0.005380609517345342	Brain
77000000	0.005361542019657113	Brain
78000000	0.0053423299867855914	Brain
79000000	0.005323430233511476	Brain
80000000	0.005304414510686444	Brain
81000000	0.005285701680331803	Brain
82000000	0.005266908503511374	Brain
